feature,importance,importance_pct
forest_land_EFProdTotGHA,0.00149106322423206,0.14910632242320598
d_carbon_EFProdTotGHA,0.0014647341411946515,0.14647341411946516
total_BiocapPerCap_lag1,0.0013644822061350693,0.13644822061350692
total_EFExportsTotGHA,0.001362396935908076,0.1362396935908076
forest_land_EFProdTotGHA_lag1,0.001280974593068046,0.1280974593068046
crop_land_EFProdTotGHA_lag1,0.0012803918216323744,0.12803918216323745
population_BiocapTotGHA_lag1,0.0012413966079170614,0.12413966079170614
forest_land_EFExportsPerCap_lag1,0.0012034766071627667,0.12034766071627667
population_EFImportsPerCap_lag1,0.001193200974745928,0.1193200974745928
forest_land_EFExportsTotGHA,0.0010545725407652047,0.10545725407652047
forest_land_BiocapTotGHA_lag1,0.001050349564612764,0.1050349564612764
