iso3,target,model,MAE
ZMB,co2_pc,prophet,0.04520372123499983
ZMB,forest_land_EFProdPerCap,prophet,0.008737275409150091
ZWE,co2_pc,prophet,0.14866522067925922
ZWE,forest_land_EFProdPerCap,prophet,0.007684544216878581
ABW,co2_pc,ARIMA,15.624183196921885
ABW,co2_pc,RF-lag,2.2556917032999952
AFG,co2_pc,ARIMA,0.09326231159999998
AFG,co2_pc,RF-lag,0.048003852368000165
AGO,co2_pc,ARIMA,0.063456129
AGO,co2_pc,RF-lag,0.07967840264999936
ALB,co2_pc,ARIMA,0.4758837341525112
ALB,co2_pc,RF-lag,0.2014159561999998
ARE,co2_pc,ARIMA,1.394513723117504
ARE,co2_pc,RF-lag,3.2516089380000124
ARG,co2_pc,ARIMA,0.11575741976105602
ARG,co2_pc,RF-lag,0.5869670640000023
ARM,co2_pc,ARIMA,0.27148186933437424
ARM,co2_pc,RF-lag,0.7948325255500001
ATG,co2_pc,ARIMA,0.11255805003033617
ATG,co2_pc,RF-lag,0.8192210199999984
AUS,co2_pc,ARIMA,7.112650772180594
AUS,co2_pc,RF-lag,0.3944618830000003
AUT,co2_pc,ARIMA,0.96726530045567
AUT,co2_pc,RF-lag,0.4141857806000003
AZE,co2_pc,ARIMA,0.24007559907046921
BDI,co2_pc,ARIMA,0.007925848065687593
BDI,co2_pc,RF-lag,0.004522942557000001
BEL,co2_pc,ARIMA,1.9125317938345596
BEL,co2_pc,RF-lag,0.9228152810000037
BEN,co2_pc,ARIMA,0.030447727940240643
BEN,co2_pc,RF-lag,0.11318656527999985
BFA,co2_pc,ARIMA,0.03447184004799258
BFA,co2_pc,RF-lag,0.050676796084999996
BGD,co2_pc,ARIMA,2.187059215393884
BGD,co2_pc,RF-lag,0.09405723559999972
BGR,co2_pc,ARIMA,0.42668591950004525
BGR,co2_pc,RF-lag,0.619036681600003
BHR,co2_pc,ARIMA,0.9940317145064543
BHR,co2_pc,RF-lag,1.7050280559999966
BHS,co2_pc,ARIMA,0.21554658860501555
BHS,co2_pc,RF-lag,0.5185372566000022
BIH,co2_pc,ARIMA,0.6484826
BIH,co2_pc,RF-lag,1.8116569379999974
BLR,co2_pc,ARIMA,0.15759088000000004
BLR,co2_pc,RF-lag,0.5181814993000029
BMU,co2_pc,ARIMA,1.4390631099999998
BMU,co2_pc,RF-lag,1.6709026035999976
BOL,co2_pc,ARIMA,0.36992373777863025
BOL,co2_pc,RF-lag,0.2398471346500007
BRA,co2_pc,ARIMA,1.3580772537491335
BRA,co2_pc,RF-lag,0.3367551369999987
